61,Biosite Systems,http://www.fasttrack.co.uk/company_profile/biosite-systems/,Workforce management software,Solihull,Jul-17,74.04%,6401,117,"More than 200,000 of the UK’s construction workers are registered on its systems"
62,Ecometrica,http://www.fasttrack.co.uk/company_profile/ecometrica/,Environmental reporting software,Edinburgh,Mar-18,71.67%,5496,40,Helps 250 companies on five continents to manage their environmental impacts
63,Qualasept Pharmaxo,http://www.fasttrack.co.uk/company_profile/qualasept-pharmaxo-3/,Pharmaceuticals manufacturer,Wiltshire,Apr-17,70.89%,152744,156,Its manufacturing facility and offices have a zero carbon footprint
64,Edesix,http://www.fasttrack.co.uk/company_profile/edesix/,Body camera manufacturer,Edinburgh,Dec-17,70.52%,5900,47,Founders Richie McBride and Robin Iddon competed on the TV show Robot Wars
65,LendInvest,http://www.fasttrack.co.uk/company_profile/lendinvest-3/,Property finance provider,Central London,Mar-18,70.13%,35617,128,Has facilitated more than £1.4bn of property loans
66,E3D Online,http://www.fasttrack.co.uk/company_profile/e3d-online/,3D printer developer,Oxfordshire,Apr-18,69.08%,5800,41,Has grown its exports to account for 75% of its total sales
67,Lyst,http://www.fasttrack.co.uk/company_profile/lyst-2/,Fashion search platform,East London,Mar-18,68.34%,15300,100,"LVMH, the owner of Christian Dior and Louis Vuitton, invested an undisclosed amount in May"
68,Diaceutics,http://www.fasttrack.co.uk/company_profile/diaceutics/,Medtech research provider,Belfast,Dec-17,67.80%,7390,57,Works with 31 of the top 35 pharmaceutical companies in the world
69,Amplience,http://www.fasttrack.co.uk/company_profile/amplience/,Digital media technology,Central London,Jun-17,66.25%,8147,85,Helps retailers such as Argos and Mulberry to create and manage online content
70,GlucoRx,http://www.fasttrack.co.uk/company_profile/glucorx/,Diabetes product manufacturer,Woking,Mar-17,65.52%,24885,26,Claims to have saved the NHS £150m in the past three years
71,Love Energy Savings,http://www.fasttrack.co.uk/company_profile/love-energy-savings-2/,Price comparison website,Bolton,Dec-17,64.26%,17361,183,"Has helped 145,000 UK homes and businesses save on energy costs since 2007"
